"time","blh_m"
2024-06-22 11:12:42.211459,2451.63
2024-06-22 11:32:42.236021,2351.63
2024-06-22 11:52:42.185034,2401.63
2024-06-22 12:12:42.073477,2301.63
2024-06-22 12:32:42.251517,NA
2024-06-22 12:52:42.232023,NA
2024-06-22 13:12:42.195038,NA
2024-06-22 13:32:42.219559,NA
2024-06-22 13:52:42.167496,NA
2024-06-22 14:12:42.140086,NA
2024-06-22 14:32:42.126043,NA
2024-06-22 14:52:42.020038,101.63
2024-06-22 15:12:42.137005,101.63
2024-06-22 15:32:42.021062,351.63
2024-06-22 15:52:42.261876,2851.63
2024-06-22 16:12:42.013043,2851.63
2024-06-22 16:32:42.172084,2951.63
2024-06-22 16:52:42.096977,2851.63
2024-06-22 17:12:42.016037,2951.63
2024-06-22 17:32:42.194068,2951.63
2024-06-22 17:52:42.184038,2751.63
2024-06-22 18:12:42.08608,2801.63
2024-06-22 18:32:42.292062,3101.63
2024-06-22 18:52:42.002513,3051.63
2024-06-22 19:12:42.228441,3301.63
2024-06-22 19:32:42.242049,2851.63
2024-06-22 19:52:42.252187,3501.63
2024-06-22 20:12:42.182039,3301.63
2024-06-22 20:32:42.117051,3301.63
2024-06-22 20:52:41.976114,4751.63
2024-06-22 21:12:42.154064,4851.63
2024-06-22 21:32:42.060088,3651.63
2024-06-22 21:52:42.200118,4651.63
2024-06-22 22:12:42.138057,5001.63
2024-06-22 22:32:42.088127,4951.63
2024-06-22 22:52:42.299088,3451.63
2024-06-22 23:12:42.236052,5601.63
2024-06-22 23:32:42.132028,5951.63
2024-06-22 23:52:42.099066,5551.63
2024-06-23 00:12:42.104667,4501.63
2024-06-23 00:32:42.029058,3901.63
2024-06-23 00:52:42.036188,4101.63
2024-06-23 01:12:42.250077,4601.63
2024-06-23 01:32:42.173039,3501.63
2024-06-23 01:52:42.09407,5201.63
2024-06-23 02:12:42.220029,3601.63
2024-06-23 02:32:42.16507,3701.63
2024-06-23 02:52:42.095063,3351.63
2024-06-23 03:12:42.232066,3201.63
2024-06-23 03:32:42.121071,3201.63
2024-06-23 03:52:42.046046,2851.63
2024-06-23 04:12:42.199483,2201.63
2024-06-23 04:32:42.178048,3301.63
2024-06-23 04:52:42.181065,1301.63
2024-06-23 05:12:42.109096,NA
2024-06-23 05:32:42.032089,NA
2024-06-23 05:52:42.244066,NA
2024-06-23 06:12:42.246167,NA
2024-06-23 06:32:42.212481,NA
2024-06-23 06:52:42.194073,351.63
2024-06-23 07:12:42.236075,2601.63
2024-06-23 07:32:42.176026,1351.63
2024-06-23 07:52:42.192119,2951.63
2024-06-23 08:12:42.134061,2851.63
2024-06-23 08:32:42.130067,3051.63
2024-06-23 08:52:42.102083,2851.63
2024-06-23 09:12:42.239066,2201.63
2024-06-23 09:32:42.154083,2001.63
2024-06-23 09:52:42.104122,2201.63
2024-06-23 10:12:42.232082,1751.63
2024-06-23 10:32:42.213041,2151.63
2024-06-23 10:52:42.139071,2051.63
2024-06-23 11:12:42.088054,2351.63
2024-06-23 11:32:42.353703,NA
2024-06-23 11:52:42.141079,3501.63
2024-06-23 12:12:42.157171,3251.63
2024-06-23 12:32:42.127217,551.63
2024-06-23 12:52:42.055058,2851.63
2024-06-23 13:12:42.033039,1351.63
2024-06-23 13:32:42.236094,701.63
2024-06-23 13:52:42.022184,1301.63
2024-06-23 14:12:42.23229,1251.63
2024-06-23 14:32:41.988285,2951.63
2024-06-23 14:52:42.228295,2001.63
2024-06-23 15:12:42.03781,2551.63
2024-06-23 15:32:42.25205,201.63
2024-06-23 15:52:42.186067,3901.63
2024-06-23 16:12:42.035533,3851.63
2024-06-23 16:32:42.297168,3551.63
2024-06-23 16:52:42.054159,3001.63
2024-06-23 17:12:42.233185,3051.63
2024-06-23 17:32:42.213208,3201.63
2024-06-23 17:52:42.220097,2851.63
2024-06-23 18:12:42.203279,4301.63
2024-06-23 18:32:42.185143,4201.63
2024-06-23 18:52:42.109392,4151.63
2024-06-23 19:12:42.027899,3401.63
2024-06-23 19:32:42.223059,3401.63
2024-06-23 19:52:42.040198,3651.63
2024-06-23 20:12:42.246432,4751.63
2024-06-23 20:32:42.137812,4951.63
2024-06-23 20:52:42.137066,4901.63
2024-06-23 21:12:42.184108,5001.63
2024-06-23 21:32:42.187074,5451.63
2024-06-23 21:52:42.113104,3351.63
2024-06-23 22:12:42.088621,3301.63
2024-06-23 22:32:42.397067,3251.63
2024-06-23 22:52:42.1561,3651.63
2024-06-23 23:12:42.109046,4151.63
2024-06-23 23:32:42.029102,5701.63
2024-06-23 23:52:42.232318,351.63
2024-06-24 00:12:42.165711,1701.63
2024-06-24 00:32:42.103137,451.63
2024-06-24 00:52:42.141257,1201.63
2024-06-24 01:12:42.142332,3401.63
2024-06-24 01:32:42.234012,NA
2024-06-24 01:52:42.341213,NA
2024-06-24 02:12:42.014035,2801.63
2024-06-24 02:32:42.267071,NA
2024-06-24 02:52:42.069545,651.63
2024-06-24 03:12:42.387657,1051.63
2024-06-24 03:32:42.113337,NA
2024-06-24 03:52:42.140191,NA
2024-06-24 04:12:42.093127,NA
2024-06-24 04:32:42.227072,101.63
2024-06-24 04:52:42.227946,101.63
2024-06-24 05:12:42.146141,401.63
2024-06-24 05:32:42.095074,NA
2024-06-24 05:52:42.024112,1651.63
2024-06-24 06:12:42.243079,401.63
